Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 15:40:46][1] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 15:40:46][1] Processed:  App\Jobs\FetchFacebookConversation
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 16:44:06][41] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][40] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][42] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][42] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][44] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][41] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][43] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][43] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:07][45] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:08][44] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:08][47] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:08][45] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:08][46] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:09][47] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:09][49] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:09][46] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:09][48] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][49] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][51] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][51] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][53] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][48] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][50] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][50] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:10][52] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:11][53] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:11][55] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:11][52] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:11][54] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][55] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][57] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][54] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][56] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][56] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:12][58] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][57] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][59] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][59] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][61] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][58] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:13][60] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:14][61] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:14][63] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:14][60] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:14][62] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][63] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][65] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][62] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][64] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][64] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:15][66] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:16][65] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:16][67] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:16][66] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:16][68] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][67] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][69] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][69] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][71] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][68] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:17][70] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][71] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][73] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][70] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][72] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][72] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:18][74] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:19][73] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:19][75] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:19][74] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:19][76] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][75] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][77] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][77] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][79] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][76] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:20][78] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:21][79] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:21][81] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:21][78] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:21][80] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:22][81] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:22][83] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:22][80] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:22][82] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][82] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][83] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][85] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][84] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][84] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:23][86] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][85] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][87] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][87] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][89] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][86] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:24][88] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:26][89] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:26][90] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:26][88] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:26][91] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][90] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][92] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][92] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][94] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][91] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:27][93] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][93] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][95] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][94] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][96] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][95] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:28][97] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:29][96] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:29][98] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:29][97] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:29][99] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][98] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][101] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:31][101] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:31][103] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][99] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][100] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][100] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:30][102] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:31][103] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:31][104] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][102] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][105] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][104] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][106] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][105] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:32][107] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][106] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][108] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][108] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][110] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][107] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:33][109] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][110] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][112] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][109] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][111] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][111] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:34][113] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:35][112] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:35][114] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][114] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][116] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:35][113] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:35][115] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][116] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][118] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][115] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][117] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][117] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:36][119] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:37][118] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:37][121] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:37][119] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:37][120] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:38][121] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:38][123] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:38][120] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:38][122] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][122] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][124] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][123] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][125] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][125] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][126] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:44:39][124] Processed:  App\Jobs\FetchFacebookConversation
